ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference #;Supplier reference #;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse;Default shop
78;1;Kajal Eye Pencil One Size 120;10;2.9;;;;;;;;dm_78;;Deborah Milano;Deborah Milano;5052172999939;;;;;;0.4;10;;;;;;A soft pencil that leaves ultradeep colour Easy to blend in Safe for use also inside the lashline;A soft pencil that leaves ultradeep colour Easy to blend in Safe for use also inside the lashline;;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/555a4c13-e-kajal-pencil.jpg;;;;;;;;;;;;;Sale
79;1;Kajal Eye Pencil One Size 119;10;2.9;;;;;;;;dm_79;;Deborah Milano;Deborah Milano;5052172999922;;;;;;0.4;10;;;;;;A soft pencil that leaves ultradeep colour Easy to blend in Safe for use also inside the lashline;A soft pencil that leaves ultradeep colour Easy to blend in Safe for use also inside the lashline;;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/555a4c13-e-kajal-pencil.jpg;;;;;;;;;;;;;Sale
80;1;24Ore Eye Pencil One Size 251;10;3.5;;;;;;;;dm_80;;Deborah Milano;Deborah Milano;8009518112085;;;;;;0.4;10;;;;;;"An incredibly softtextured pencil that highlights the outline of the eyes with precision for flawless longlasting color
Dermatologist tested";"An incredibly softtextured pencil that highlights the outline of the eyes with precision for flawless longlasting color
Dermatologist tested";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/56a73fb6-b-24ore-eye-pencil.jpg;;;;;;;;;;;;;Sale
81;1;24Ore Eye Pencil One Size 253;10;3.5;;;;;;;;dm_81;;Deborah Milano;Deborah Milano;8009518112092;;;;;;0.4;10;;;;;;"An incredibly softtextured pencil that highlights the outline of the eyes with precision for flawless longlasting color
Dermatologist tested";"An incredibly softtextured pencil that highlights the outline of the eyes with precision for flawless longlasting color
Dermatologist tested";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/56a73fb6-b-24ore-eye-pencil.jpg;;;;;;;;;;;;;Sale
82;1;24Ore Eye Pencil One Size 254;10;3.5;;;;;;;;dm_82;;Deborah Milano;Deborah Milano;5052172999915;;;;;;0.4;10;;;;;;"An incredibly softtextured pencil that highlights the outline of the eyes with precision for flawless longlasting color
Dermatologist tested";"An incredibly softtextured pencil that highlights the outline of the eyes with precision for flawless longlasting color
Dermatologist tested";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/56a73fb6-b-24ore-eye-pencil.jpg;;;;;;;;;;;;;Sale
83;1;24Ore Eye Pencil One Size 261;10;3.5;;;;;;;;dm_83;;Deborah Milano;Deborah Milano;5052172999908;;;;;;0.4;10;;;;;;"An incredibly softtextured pencil that highlights the outline of the eyes with precision for flawless longlasting color
Dermatologist tested";"An incredibly softtextured pencil that highlights the outline of the eyes with precision for flawless longlasting color
Dermatologist tested";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/56a73fb6-b-24ore-eye-pencil.jpg;;;;;;;;;;;;;Sale
84;1;24Ore Eye Pencil One Size 264;10;3.5;;;;;;;;dm_84;;Deborah Milano;Deborah Milano;5052172999892;;;;;;0.4;10;;;;;;"An incredibly softtextured pencil that highlights the outline of the eyes with precision for flawless longlasting color
Dermatologist tested";"An incredibly softtextured pencil that highlights the outline of the eyes with precision for flawless longlasting color
Dermatologist tested";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/56a73fb6-b-24ore-eye-pencil.jpg;;;;;;;;;;;;;Sale
85;1;24Ore Eye Pencil One Size 265;10;3.5;;;;;;;;dm_85;;Deborah Milano;Deborah Milano;5052172999786;;;;;;0.4;10;;;;;;"An incredibly softtextured pencil that highlights the outline of the eyes with precision for flawless longlasting color
Dermatologist tested";"An incredibly softtextured pencil that highlights the outline of the eyes with precision for flawless longlasting color
Dermatologist tested";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/56a73fb6-b-24ore-eye-pencil.jpg;;;;;;;;;;;;;Sale
86;1;24Ore Eye Pencil One Size 267;10;3.5;;;;;;;;dm_86;;Deborah Milano;Deborah Milano;8009518117660;;;;;;0.4;10;;;;;;"An incredibly softtextured pencil that highlights the outline of the eyes with precision for flawless longlasting color
Dermatologist tested";"An incredibly softtextured pencil that highlights the outline of the eyes with precision for flawless longlasting color
Dermatologist tested";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/56a73fb6-b-24ore-eye-pencil.jpg;;;;;;;;;;;;;Sale
87;1;24Ore Eye Pencil One Size 266;10;3.5;;;;;;;;dm_87;;Deborah Milano;Deborah Milano;8009518117608;;;;;;0.4;10;;;;;;"An incredibly softtextured pencil that highlights the outline of the eyes with precision for flawless longlasting color
Dermatologist tested";"An incredibly softtextured pencil that highlights the outline of the eyes with precision for flawless longlasting color
Dermatologist tested";;;;;;;;;;;;http://www.deborahmilano.co.uk/upload/siteimages/Product/56a73fb6-b-24ore-eye-pencil.jpg;;;;;;;;;;;;;Sale
